car_model,year,model,version,door_count,nr_seats,color,gearbox,engine_capacity,engine_power,transmission,fuel_type,body_type,new_used,mileage,no_accident,country_origin,has_registration,registered,price
aixam,2021,Crossline,,3,4,Niebieski,Automatyczna,599 cm3,15 KM,Na przednie koła,Diesel,Auta małe,Używany,37 500 km,,,,,66 900
aixam,2015,Crossover,,3,2,Szary,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,37 000 km,Tak,Włochy,Tak,Tak,27 900
aixam,2014,Crossline,,3,2,Szary,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,48 218 km,,,,,26 900
aixam,1998,Inny,,3,,Niebieski,Automatyczna,400 cm3,6 KM,,Diesel,Auta małe,Używany,86 000 km,,,Tak,Tak,6 500
alfa-romeo,2017,Giulia,2.0 Turbo 16V AT8-Q4 Ti,4,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,Sedan,Używany,125 600 km,,Stany Zjednoczone,Tak,Tak,89 900
alfa-romeo,2011,159,,4,5,Czarny,Manualna,1 956 cm3,170 KM,Na przednie koła,Diesel,Kombi,Używany,220 000 km,,,Tak,Tak,27 500
alfa-romeo,2011,Giulietta,1.6 JTDM Progression,5,5,Czarny,Manualna,1 598 cm3,105 KM,Na przednie koła,Diesel,Kompakt,Używany,259 000 km,Tak,Polska,Tak,Tak,19 900
alfa-romeo,2019,Stelvio,2.0 Turbo 16V AT8-Q4 Lusso Ti,5,5,Granatowy,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,90 000 km,Tak,Stany Zjednoczone,Tak,Tak,118 000
alfa-romeo,2010,159,,5,5,Czarny,Manualna,1 956 cm3,170 KM,,Diesel,Kombi,Używany,196 000 km,Tak,,Tak,Tak,14 999
alfa-romeo,2015,Giulietta,1.4 TB MultiAir Sport,5,5,Szary,Manualna,1 368 cm3,150 KM,Na przednie koła,Benzyna,Kompakt,Używany,43 679 km,Tak,,Tak,Tak,40 999
alfa-romeo,2019,Giulia,2.0 Turbo Veloce Q4,4,5,Niebieski,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,Sedan,Używany,56 000 km,Tak,Polska,Tak,Tak,136 000
alfa-romeo,2023,Tonale,,5,5,Szary,Automatyczna,1 469 cm3,130 KM,Na przednie koła,Benzyna,SUV,Używany,29 208 km,Tak,Polska,Tak,Tak,129 900
alfa-romeo,2012,Giulietta,,5,,Biały,Manualna,1 368 cm3,120 KM,,Benzyna,Kompakt,Używany,118 000 km,,,Tak,,31 000
alfa-romeo,2010,Mito,TB 1.4 16V MultiAir Quadrifoglio Verde,3,4,Złoty,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Auta małe,Używany,165 000 km,Tak,Szwajcaria,Tak,,23 500
alfa-romeo,2012,Giulietta,1.6 JTDM 16V,5,5,Czerwony,Manualna,1 598 cm3,105 KM,Na przednie koła,Diesel,Kompakt,Używany,154 700 km,,Niemcy,Tak,Tak,25 000
alfa-romeo,2010,Mito,TB 1.4 16V MultiAir TCT Turismo,3,4,Czarny,Automatyczna,1 368 cm3,135 KM,Na przednie koła,Benzyna,Kompakt,Używany,147 000 km,Tak,,Tak,Tak,20 900
alfa-romeo,2009,Mito,,3,5,Czarny,Manualna,1 368 cm3,120 KM,Na przednie koła,Benzyna,Auta małe,Używany,171 000 km,Tak,Niemcy,,,15 900
alfa-romeo,2019,Stelvio,2.0 Turbo 16V AT8-Q4 6C Villa dEste,5,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,46 000 km,,,Tak,,98 000
alfa-romeo,2021,Stelvio,2.0 Turbo Veloce Q4,5,5,Czarny,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,120 000 km,,,Tak,,126 000
alfa-romeo,2020,Stelvio,2.0 Turbo 16V AT8-Q4 Tributo Italiano,5,5,Czarny,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,120 000 km,,Stany Zjednoczone,Tak,Tak,114 000
alfa-romeo,2015,Giulietta,1.4 TB Sprint,5,5,Czarny,Manualna,1 368 cm3,150 KM,Na przednie koła,Benzyna,Kompakt,Używany,63 200 km,Tak,Polska,Tak,Tak,43 000
alfa-romeo,2009,Mito,1.4 8V Impression,3,4,Srebrny,Manualna,1 368 cm3,78 KM,Na przednie koła,Benzyna,Coupe,Używany,195 000 km,,,Tak,,13 900
alfa-romeo,2019,Stelvio,,5,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,42 500 km,Tak,Polska,Tak,Tak,114 400
alfa-romeo,2017,Stelvio,2.0 Turbo 16V AT8-Q4 Ti,5,5,Szary,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,112 000 km,,,Tak,Tak,79 900
alfa-romeo,2011,Giulietta,1.4 TB Distinctive,5,5,Inny kolor,Manualna,1 368 cm3,120 KM,Na przednie koła,Benzyna,Kompakt,Używany,149 500 km,Tak,Niemcy,Tak,Tak,24 000
alfa-romeo,2010,Mito,TB 1.4 16V MultiAir Quadrifoglio Verde,3,5,Biały,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Coupe,Używany,179 000 km,Tak,Dania,Tak,,19 900
alfa-romeo,2018,Stelvio,2.0 Turbo Business Q4,5,5,Czerwony,Automatyczna,1 995 cm3,200 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,46 550 km,Tak,Polska,Tak,Tak,113 160
alfa-romeo,2018,Stelvio,2.0 Turbo TI Q4,5,5,Srebrny,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,59 600 km,,,Tak,,114 444
alfa-romeo,2005,156,1.9 JTD 16V Distinctive,4,,Srebrny,Manualna,1 910 cm3,140 KM,Na przednie koła,Diesel,Kombi,Używany,274 000 km,,Belgia,Tak,Tak,5 500
alfa-romeo,2009,Mito,1.4 16V Turismo,3,4,Czarny,Manualna,1 368 cm3,95 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,235 000 km,Tak,Austria,Tak,Tak,8 999
alfa-romeo,2009,Mito,,3,4,Czerwony,Manualna,1 368 cm3,78 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,149 659 km,,,Tak,Tak,19 500
alfa-romeo,2012,Giulietta,1.4 TB 16V Multiair,5,5,Szary,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Kompakt,Używany,170 000 km,Tak,,Tak,,26 900
alfa-romeo,2017,Stelvio,2.0 Turbo TI Q4,5,5,Granatowy,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,139 000 km,,Stany Zjednoczone,Tak,,103 000
alfa-romeo,2023,Giulia,2.0 Turbo Veloce Q4,4,5,Niebieski,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,5 km,Tak,,,,239 000
alfa-romeo,2012,Giulietta,2.0 JTDM Progression,5,5,Czarny,Manualna,1 956 cm3,140 KM,Na przednie koła,Diesel,Kompakt,Używany,230 000 km,Tak,,,,17 900
alfa-romeo,2008,Mito,1.4 TB Progression,3,5,Fioletowy,Manualna,1 368 cm3,155 KM,Na przednie koła,Benzyna+LPG,Auta małe,Używany,177 181 km,Tak,Włochy,Tak,Tak,17 000
alfa-romeo,2019,Giulia,2.0 Turbo Business,4,5,Niebieski,Automatyczna,1 995 cm3,200 KM,,Benzyna,Sedan,Używany,169 252 km,Tak,Polska,Tak,Tak,"84 899,52"
